,Store,Category,Item Type,Name (on Website),Gender,Price
0,Carter's,Kids,Baby Jeans,5-Pocket Embellished Skinny Jeans,F,28.0
1,Carter's,Kids,Baby Jeans,5-Pocket Skinny Jeans,M,14.4
2,Carter's,Kids,Baby Jeans,Printed French Terry Pants,F,8.0
3,Carter's,Kids,Baby Jeans,French Terry Pants,M,8.0
4,Carter's,Kids,Baby Shirts,Printed Tee,F,5.0
5,Carter's,Kids,Baby Shirts,Excavator Tee,M,5.0
6,Carter's,Kids,Baby Shirts,Ballet Tee,F,8.0
7,Carter's,Kids,Baby Shirts,Speed Of Lightning Tee,M,8.0
8,Carter's,Kids,Baby Shoes,Carter's Sparkle High Tops,F,15.0
9,Carter's,Kids,Baby Shoes,Carter's High Top Crib Shoes,M,15.0
10,Carter's,Kids,Baby Shoes,Glitter Crib Riding Boots,F,13.2
11,Carter's,Kids,Baby Shoes,Crib Boots,M,12.0
12,Carter's,Kids,Baby Sweaters,French Terry Cardigan,F,12.0
13,Carter's,Kids,Baby Sweaters,French Terry Cardigan,M,12.0
14,Carter's,Kids,Baby Sweaters,Half-Zip Fleece Pullover,F,22.0
15,Carter's,Kids,Baby Sweaters,Half-Zip Fleece Pullover,M,13.2
16,Carter's,Kids,Children's Jeans,5-Pocket Embellished Skinny Jeans,F,32.0
17,Carter's,Kids,Children's Jeans,5-Pocket Jeans,M,18.0
18,Carter's,Kids,Children's Jeans,Stretch Corduroy Pants,F,22.5
19,Carter's,Kids,Children's Jeans,5-Pocket Corduroy Pants,M,22.5
20,Carter's,Kids,Children's Shirts,Football Tee,M,10.8
21,Carter's,Kids,Children's Shirts,Winter Friends Tee,F,20.0
22,Carter's,Kids,Children's Shirts,Winter Bear Tee,M,20.0
23,Carter's,Kids,"Children's
Underwear",3-Pack Stretch Cotton Panties,F,9.0
24,Carter's,Kids,"Children's
Underwear",3-Pack Cotton Briefs,M,9.0
25,Carter's,Kids,"Children's
Underwear",7-Pack Stretch Cotton Panties,F,18.0
26,Carter's,Kids,"Children's
Underwear",7-Pack Cotton Briefs,M,18.0
27,Carter's,Kids,Onesie,Denim Jumpsuit,F,14.4
28,Carter's,Kids,Onesie,Ripstop Shortalls,M,11.99
29,Carter's,Kids,Onesie,Striped Romper,F,9.99
30,Carter's,Kids,Onesie,Cotton Plaid Romper,M,8.99
31,Carter's,Kids,Toddler Shoes,Carter's Casual Shoes,F,25.5
32,Carter's,Kids,Toddler Shoes,Carter's Casual Shoes,M,25.5
33,Gap,Kids,Baby Jeans,Pull-On Skinny Jeans,F,24.95
34,Gap,Kids,Baby Jeans,Pull-On Slim Jeans,M,24.95
35,Gap,Kids,Baby Jeans,Indigo Pull-On Jeans,F,24.95
36,Gap,Kids,Baby Jeans,Lined Pull-On Original Fit Jeans,M,24.95
37,Gap,Kids,Baby Shirts,Lace Top,F,19.95
38,Gap,Kids,Baby Shirts,Patch Rugby Top,M,19.95
39,Gap,Kids,Baby Shirts,Printed Ruffle Top,F,12.95
40,Gap,Kids,Baby Shirts,2-In-1 Pocket Tee,M,12.95
41,Gap,Kids,Baby Shoes,Polka Dot Mary Jane Sneakers,F,24.95
42,Gap,Kids,Baby Shoes,Chambray Sneakers,M,24.95
43,Gap,Kids,Baby Shoes,Polka Dot Mary Jane Sneakers,F,29.95
44,Gap,Kids,Baby Shoes,Chambray Sneakers,M,24.95
45,Gap,Kids,Baby Sweaters,Cable Peplum Cardigan,F,34.95
46,Gap,Kids,Baby Sweaters,Cable Knit Sweater,M,34.95
47,Gap,Kids,Baby Sweaters,Deer Cardigan,F,34.95
48,Gap,Kids,Baby Sweaters,Shawl Cardigan,M,34.95
49,Gap,Kids,Children's Jeans,1969 Boot Cut Jeans,F,29.95
50,Gap,Kids,Children's Jeans,1969 Boot Cut Jeans,M,34.95
51,Gap,Kids,Children's Jeans,1969 Patch Cropped Boy Fit Jeans,F,36.95
52,Gap,Kids,Children's Jeans,1969 Original Fit Jeans,M,29.95
53,Gap,Kids,Children's Shirts,Solid Pique Polo,F,18.95
54,Gap,Kids,Children's Shirts,Solid Pique Polo,M,18.95
55,Gap,Kids,Children's Shirts,Printed Babydoll Tee,F,16.95
56,Gap,Kids,Children's Shirts,Stripe Pocket Tee,M,14.95
57,Gap,Kids,"Children's
Underwear","Happy Day-Of-The-Week Bikini Brief (7-
Pack)",F,26.95
58,Gap,Kids,"Children's
Underwear",Bike Underwear (5-Pack),M,26.95
59,Gap,Kids,"Children's
Underwear",Horse Hipster (7-Pack),F,26.95
60,Gap,Kids,"Children's
Underwear",Stripe Boxer Briefs (5-Pack),M,29.95
61,Gap,Kids,Onesie,Ruffle Slub One-Piece,F,24.95
62,Gap,Kids,Onesie,Rugby-Stripe Baseball Tee One-Piece,M,24.95
63,Gap,Kids,Onesie,Stampede One-Piece,F,29.95
64,Gap,Kids,Onesie,Plaid Roll-Up One-Piece,M,29.95
65,Gap,Kids,Toddler Shoes,Metallic Logo Trainers,F,29.95
66,Gap,Kids,Toddler Shoes,Colorblock Trainers,M,29.95
67,Gymboree,Kids,Baby Jeans,Double Button Jeans,F,24.95
68,Gymboree,Kids,Baby Jeans,Pull-On Jeans,M,24.95
69,Gymboree,Kids,Baby Jeans,Geo Floral Skirt,F,24.95
70,Gymboree,Kids,Baby Jeans,Cuffed Plaid Shorts,M,22.95
71,Gymboree,Kids,Baby Shirts,Wildflowers & Birdies Smock Top,F,22.95
72,Gymboree,Kids,Baby Shirts,Plaid Shirt,M,22.95
73,Gymboree,Kids,Baby Shirts,Meow Striped Tee,F,21.95
74,Gymboree,Kids,Baby Shirts,Football Champ Long Sleeve Tee,M,19.95
75,Gymboree,Kids,Baby Shoes,Metallic Sandals,F,21.95
76,Gymboree,Kids,Baby Shoes,Crib Sandals,M,21.95
77,Gymboree,Kids,Baby Shoes,Patent Eyelet Crib Shoes,F,21.95
78,Gymboree,Kids,Baby Shoes,Boat Crib Shoes,M,21.95
79,Gymboree,Kids,Baby Shoes,Polka Dot Booties,F,16.95
80,Gymboree,Kids,Baby Shoes,Striped Booties,M,16.95
81,Gymboree,Kids,Baby Sweaters,Polka Dot Hoodie,F,24.95
82,Gymboree,Kids,Baby Sweaters,Produce Truck Hoodie,M,24.95
83,Gymboree,Kids,Baby Sweaters,Fair Isle Cardigan,F,32.95
84,Gymboree,Kids,Baby Sweaters,Elbow Patch Cardigan,M,32.95
85,Gymboree,Kids,Children's Jeans,Bootcut Jeans,F,32.95
86,Gymboree,Kids,Children's Jeans,Bootcut Jeans,M,29.95
87,Gymboree,Kids,Children's Jeans,Straight Jeans,F,32.95
88,Gymboree,Kids,Children's Jeans,Straight Jeans,M,29.95
89,Gymboree,Kids,Children's Shirts,Be Sweet Tee,F,19.95
90,Gymboree,Kids,Children's Shirts,Totally Awesome Wave Tee,M,16.95
91,Gymboree,Kids,Children's Shirts,You Me And The Sea Tank,F,19.95
92,Gymboree,Kids,Children's Shirts,So Much To Sea Tank,M,12.95
93,Gymboree,Kids,"Children's
Underwear",Halloween Underwear Three-Pack,F,14.95
94,Gymboree,Kids,"Children's
Underwear",Halloween Underwear Three-Pack,M,15.95
95,Gymboree,Kids,"Children's
Underwear",Giraffe Underwear Three-Pack,F,14.95
96,Gymboree,Kids,"Children's
Underwear",Safari Briefs Three-Pack,M,15.95
97,Gymboree,Kids,Onesie,Squirrel Two-Piece Set,F,26.95
98,Gymboree,Kids,Onesie,Bear Two-Piece Set,M,26.95
99,Gymboree,Kids,Onesie,Striped Elephant One-Piece,F,24.95
100,Gymboree,Kids,Onesie,Striped Elephant One-Piece,M,24.95
101,OshKosh B'gosh,Kids,Baby Jeans,Super Skinny Jeans - Marine Blue,F,10.0
102,OshKosh B'gosh,Kids,Baby Jeans,Skinny Jeans - Indigo Bright,M,10.0
103,OshKosh B'gosh,Kids,Baby Jeans,Chambray Ruffle Joggers,F,13.0
104,OshKosh B'gosh,Kids,Baby Jeans,Stretch Denim Joggers,M,13.0
105,OshKosh B'gosh,Kids,Baby Shirts,Oshkosh Originals Graphic Tee,F,6.0
106,OshKosh B'gosh,Kids,Baby Shirts,Oshkosh Originals Graphic Tee,M,6.0
107,OshKosh B'gosh,Kids,Baby Shirts,Tlc Striped Tunic,F,10.0
108,OshKosh B'gosh,Kids,Baby Shirts,Double Decker Pocket Tee,M,10.0
109,OshKosh B'gosh,Kids,Baby Shoes,Oshkosh Slip-On Shoes,F,34.0
110,OshKosh B'gosh,Kids,Baby Shoes,Oshkosh Slip-On Shoes,M,34.0
111,OshKosh B'gosh,Kids,Baby Shoes,Oshkosh Leopard Print Crib Boots,F,14.0
112,OshKosh B'gosh,Kids,Baby Shoes,Oshkosh Faux Fur Crib Boots,M,14.0
113,OshKosh B'gosh,Kids,Baby Sweaters,Marled Cardi,F,22.0
114,OshKosh B'gosh,Kids,Baby Sweaters,Marled Shawl Collar Cardigan,M,19.0
115,OshKosh B'gosh,Kids,Baby Sweaters,Ski Lodge Sweater,F,25.0
116,OshKosh B'gosh,Kids,Baby Sweaters,Ski Lodge Pullover Sweater,M,24.0
117,OshKosh B'gosh,Kids,Children's Jeans,Oshkosh Skinny Jeans-Maritime Blue Wash,F,8.0
118,OshKosh B'gosh,Kids,Children's Jeans,Skinny Jeans - Indigo Bright,M,12.0
119,OshKosh B'gosh,Kids,Children's Jeans,Straight Jeans - Mellow Medium,M,12.0
120,OshKosh B'gosh,Kids,Children's Shirts,Embroidered Top,F,13.0
121,OshKosh B'gosh,Kids,Children's Shirts,Striped Henley,M,13.0
122,OshKosh B'gosh,Kids,Children's Shirts,Oshkosh Originals Graphic Tee,F,6.0
